;mean;std
V_vit b12;1.3106796116504854e-06;1.474103555697403e-05
M_chromium;0.0022920825242718442;0.014569728799993211
M_selenium;0.021075728155339805;0.13428741434664018
V_vit k;0.05633398058252428;0.25366695394279143
V_vit b9;0.11490388349514563;0.33373785343306983
V_vit b2;0.34937864077669906;0.588316284878936
V_vit b6;0.5552864077669903;0.6343351968483945
V_vit b1;0.496490291262136;0.9181510516052449
M_copper;0.9103252427184465;1.0875513763221416
M_iodine;0.1749580097087379;2.5082249576331996
V_vit b5;1.0840776699029127;2.554382677327468
M_zinc;3.230475728155339;2.753933982044011
M_manganese;2.989305825242718;5.797843342406542
OT_betaine;1.683009708737864;7.963419578627709
V_vit h;1.5330097087378642;14.71166710288969
M_iron;10.68271844660194;16.56978423659072
OT_choline;17.75679611650485;34.16397085830348
OT_caffeine;5.538834951456311;39.82775042607723
V_vit c;15.475631067961165;59.57693833035835
G_energy;377.6207095;119.63073119125576
