Compound;proportion
"Protein";0.002557603686635945
"Water";0.8955299539170508
"Caffeine";0.000295
"Sugars";0.09550691244239631
"Calcium, Ca";5.357142857142858e-05
"Iron, Fe";2.1601382488479263e-07
"Magnesium, Mg";3.928571428571428e-05
"Phosphorus, P";1.2857142857142856e-05
"Potassium, K";3.785714285714286e-05
"Sodium, Na";0.0004450000000000001
"Zinc, Zn";9.504608294930875e-07
"Copper, Cu";2.9665898617511523e-08
"Selenium, Se";1.1434331797235023e-08
"Vitamin C";7.142857142857143e-05
"Thiamin";1.759792626728111e-07
"Riboflavin";3.185195852534562e-06
"Niacin";4.606019585253456e-05
"Vitamin B6";9.978398617511522e-06
"Choline";1.4976958525345621e-06
"Vitamin K";5.76036866359447e-11
"Folic acid";2.385714285714286e-07
"Vitamin B12, added";1.691820276497696e-08
